2.101401353196283057e+07,2.185457407324134558e+07,2.284327500431478396e+07,2.387122237950894609e+07,2.482821968470345810e+07,2.582432785845375806e+07,2.685755921607049555e+07
1.253864349801486172e+07,1.316557567291560583e+07,1.369219869983223081e+07,1.423988664782552049e+07,1.473828268049941212e+07,1.525412257431689091e+07,1.578801686441798136e+07
1.663982410451449454e+08,1.711638866686778963e+08,1.758708935520665646e+08,1.777632643666868210e+08,1.795017890921930075e+08,1.812968069831149280e+08,1.832856329557196796e+08
1.057244307641367465e+08,1.061187828908869773e+08,1.086454711115190089e+08,1.123937398648664057e+08,1.166141247967921346e+08,1.211422512626515627e+08,1.256560115446979702e+08
1.330044265224422095e+06,1.290315843022168614e+06,1.443515043064190773e+06,1.533951260512162466e+06,1.624224292193303350e+06,1.687536555102998391e+06,1.737774518348414684e+06
5.577569667397967577e+08,5.903243960277334452e+08,6.049349248294198513e+08,6.173965842809058428e+08,6.279664138037949800e+08,6.382273850053490400e+08,6.480177930913310051e+08
1.189553172420083918e+07,1.201508181802905723e+07,1.244137692093272693e+07,1.309330507158960216e+07,1.370869040995431319e+07,1.432558147840225697e+07,1.497023264493035711e+07
1.326256129518511057e+09,1.386441632676061153e+09,1.424596506407306433e+09,1.457020322893136501e+09,1.490604641335823298e+09,1.526036313660375834e+09,1.563592067339557648e+09
3.876673643390460014e+08,4.011504352707580328e+08,4.171964526815883517e+08,4.267919710932648182e+08,4.353278105151301026e+08,4.431637111044024229e+08,4.511406579042816758e+08
5.116919309624136984e+07,5.235529499221224338e+07,5.324167013643039018e+07,5.414944061225652695e+07,5.507918650756896287e+07,5.603095485041975230e+07,5.700589346481706202e+07
1.073259432579781115e+07,1.094703156042725220e+07,1.187785765401038155e+07,1.235332829590041749e+07,1.278532418640805408e+07,1.301494860879594274e+07,1.320978238946961798e+07
3.299389193620565161e+07,3.408071073658426106e+07,3.515357151057193428e+07,3.623384076309181005e+07,3.734150927521952987e+07,3.848901385524702072e+07,3.967524526226573437e+07
2.899755847055398822e+08,3.045758553954637647e+08,3.273124430007351637e+08,3.512062513397887945e+08,3.768443076875933409e+08,4.043539421487876177e+08,4.334674259835003614e+08
3.973519650704637170e+06,4.136433956383526791e+06,4.454939371025058441e+06,4.668776460834261030e+06,4.794833425276786089e+06,4.883058360301879235e+06,4.972906634131433442e+06
